Key,Count
01001,42527
01002,704
01003,1997
01004,358
01005,4189
01006,1700
01007,2005
01008,306
01009,388
01010,319
01011,969
02001,19859
02002,32211
02003,3713
02004,54066
02005,4024
03001,3698
03002,2813
03003,12806
03008,11819
03009,940
04001,3227
04002,14237
04003,11034
04004,3583
04005,1197
04006,943
04007,351
04008,465
04009,2546
04010,559
04011,935
05001,48
05002,4551
05003,893
05004,506
05005,85
05006,918
05007,530
05008,26
05009,1990
05010,2521
05011,271
05012,52
05013,76
05014,219
05015,46
05016,95
05017,3022
05018,9532
05019,293
05020,2448
05021,188
05022,966
05023,308
05024,1471
05025,6116
05026,25
05027,2710
05028,2535
05029,103
05030,27008
05031,955
05032,1631
05033,2722
05034,230
05035,27511
05036,162
05037,231
05038,495
06001,1305
06002,11355
06003,952
06004,805
06005,1170
06006,267
06007,8609
06008,362
06009,5184
06010,4945
07001,670
07002,1425
07003,928
07004,1053
07005,274
07006,325
07007,827
07008,1323
07009,2466
07010,55
07011,182
07012,2123
07013,1288
07014,333
07015,1373
07016,350
07017,3635
07018,317
07019,10944
07020,940
07021,880
07022,202
07023,634
07024,319
07025,153
07026,377
07027,2826
07028,228
07029,208
07030,1038
07031,1013
07032,1201
07033,37
07034,2941
07035,260
07036,210
07037,1030
07038,85
07039,269
07040,3465
07041,948
07042,224
07043,295
07044,450
07045,69
07046,801
07047,325
07048,622
07049,442
07050,149
07051,1945
07052,2351
07053,96
07054,914
07055,225
07056,83
07057,2584
07058,2
07059,5073
07060,197
07061,3168
07062,271
07063,173
07064,780
07065,3773
07066,494
07067,150
07068,1292
07069,1917
07070,317
07071,790
07072,611
07073,397
07074,1761
07075,1247
07076,294
07077,546
07078,14468
07079,806
07080,546
07081,1169
07082,157
07083,377
07084,132
07085,366
07086,1096
07087,1650
07088,71
07089,17347
07090,139
07091,650
07092,1310
07093,292
07094,1362
07096,1181
07097,4220
07098,238
07099,1335
07100,275
07101,37468
07102,687
07103,356
07104,463
07105,431
07106,2419
07107,2975
07108,5069
07109,1621
07110,244
07111,940
07112,361
07113,91
07114,684
07115,220
07116,229
07117,186
07118,95
07119,60
08001,490
08002,760
08003,299
08004,210
08005,956
08006,136
08007,229
08008,69
08009,1072
08010,1026
08011,2276
08012,124
08013,195
08014,86
08015,58
08016,100
08017,7446
08018,31
08019,33068
08020,105
08021,6959
08022,52
08023,48
08024,156
08025,272
08026,51
08027,984
08028,121
08029,558
08030,161
08031,1209
08032,6204
08033,30
08034,196
08035,176
08036,1803
08037,39498
