Key,11_0 a 5 personas,11_101 a 250 personas,11_11 a 30 personas,11_251 y más personas,11_31 a 50 personas,11_51 a 100 personas,11_6 a 10 personas,21_0 a 5 personas,21_101 a 250 personas,21_11 a 30 personas,21_251 y más personas,21_31 a 50 personas,21_51 a 100 personas,21_6 a 10 personas,22_0 a 5 personas,22_101 a 250 personas,22_11 a 30 personas,22_251 y más personas,22_31 a 50 personas,22_51 a 100 personas,22_6 a 10 personas,23_0 a 5 personas,23_101 a 250 personas,23_11 a 30 personas,23_251 y más personas,23_31 a 50 personas,23_51 a 100 personas,23_6 a 10 personas,31_0 a 5 personas,31_101 a 250 personas,31_11 a 30 personas,31_251 y más personas,31_31 a 50 personas,31_51 a 100 personas,31_6 a 10 personas,32_0 a 5 personas,32_101 a 250 personas,32_11 a 30 personas,32_251 y más personas,32_31 a 50 personas,32_51 a 100 personas,32_6 a 10 personas,33_0 a 5 personas,33_101 a 250 personas,33_11 a 30 personas,33_251 y más personas,33_31 a 50 personas,33_51 a 100 personas,33_6 a 10 personas,43_0 a 5 personas,43_101 a 250 personas,43_11 a 30 personas,43_251 y más personas,43_31 a 50 personas,43_51 a 100 personas,43_6 a 10 personas,46_0 a 5 personas,46_101 a 250 personas,46_11 a 30 personas,46_251 y más personas,46_31 a 50 personas,46_51 a 100 personas,46_6 a 10 personas,48_0 a 5 personas,48_101 a 250 personas,48_11 a 30 personas,48_251 y más personas,48_31 a 50 personas,48_51 a 100 personas,48_6 a 10 personas,49_0 a 5 personas,49_101 a 250 personas,49_11 a 30 personas,49_251 y más personas,49_31 a 50 personas,49_51 a 100 personas,49_6 a 10 personas,51_0 a 5 personas,51_101 a 250 personas,51_11 a 30 personas,51_251 y más personas,51_31 a 50 personas,51_51 a 100 personas,51_6 a 10 personas,52_0 a 5 personas,52_101 a 250 personas,52_11 a 30 personas,52_251 y más personas,52_31 a 50 personas,52_51 a 100 personas,52_6 a 10 personas,53_0 a 5 personas,53_101 a 250 personas,53_11 a 30 personas,53_251 y más personas,53_31 a 50 personas,53_51 a 100 personas,53_6 a 10 personas,54_0 a 5 personas,54_101 a 250 personas,54_11 a 30 personas,54_251 y más personas,54_31 a 50 personas,54_51 a 100 personas,54_6 a 10 personas,55_0 a 5 personas,55_101 a 250 personas,55_11 a 30 personas,55_251 y más personas,55_31 a 50 personas,55_51 a 100 personas,55_6 a 10 personas,56_0 a 5 personas,56_101 a 250 personas,56_11 a 30 personas,56_251 y más personas,56_31 a 50 personas,56_51 a 100 personas,56_6 a 10 personas,61_0 a 5 personas,61_101 a 250 personas,61_11 a 30 personas,61_251 y más personas,61_31 a 50 personas,61_51 a 100 personas,61_6 a 10 personas,62_0 a 5 personas,62_101 a 250 personas,62_11 a 30 personas,62_251 y más personas,62_31 a 50 personas,62_51 a 100 personas,62_6 a 10 personas,71_0 a 5 personas,71_101 a 250 personas,71_11 a 30 personas,71_251 y más personas,71_31 a 50 personas,71_51 a 100 personas,71_6 a 10 personas,72_0 a 5 personas,72_101 a 250 personas,72_11 a 30 personas,72_251 y más personas,72_31 a 50 personas,72_51 a 100 personas,72_6 a 10 personas,81_0 a 5 personas,81_101 a 250 personas,81_11 a 30 personas,81_251 y más personas,81_31 a 50 personas,81_51 a 100 personas,81_6 a 10 personas,93_0 a 5 personas,93_101 a 250 personas,93_11 a 30 personas,93_251 y más personas,93_31 a 50 personas,93_51 a 100 personas,93_6 a 10 personas
01001,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,23.0,1.0,5.0,0.0,1.0,4.0,3.0,117.0,16.0,109.0,5.0,39.0,28.0,55.0,1364.0,8.0,103.0,18.0,18.0,12.0,160.0,557.0,1.0,37.0,0.0,8.0,5.0,71.0,1025.0,9.0,80.0,15.0,9.0,8.0,112.0,1251.0,9.0,165.0,9.0,32.0,23.0,280.0,14621.0,32.0,366.0,9.0,48.0,40.0,575.0,103.0,5.0,64.0,4.0,15.0,8.0,42.0,31.0,0.0,4.0,0.0,3.0,0.0,8.0,78.0,5.0,16.0,1.0,4.0,9.0,15.0,331.0,0.0,57.0,0.0,7.0,1.0,115.0,741.0,0.0,39.0,0.0,3.0,4.0,77.0,998.0,7.0,89.0,4.0,10.0,10.0,172.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,10.0,44.0,12.0,12.0,18.0,60.0,323.0,25.0,425.0,8.0,79.0,68.0,176.0,2078.0,12.0,101.0,11.0,39.0,19.0,140.0,412.0,2.0,44.0,1.0,4.0,4.0,34.0,5151.0,3.0,172.0,4.0,25.0,15.0,363.0,6201.0,11.0,169.0,1.0,22.0,6.0,310.0,94.0,39.0,87.0,20.0,33.0,23.0,59.0
01002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,334.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,3.0,7.0,18.0,0.0,3.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,0.0
01003,5.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,116.0,0.0,2.0,1.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,1.0,1.0,0.0,0.0,0.0,37.0,0.0,4.0,0.0,1.0,0.0,3.0,871.0,0.0,11.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,4.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,19.0,0.0,3.0,2.0,8.0,53.0,0.0,10.0,1.0,0.0,1.0,3.0,31.0,0.0,2.0,0.0,0.0,0.0,4.0,257.0,0.0,5.0,0.0,0.0,0.0,14.0,247.0,2.0,5.0,0.0,0.0,0.0,5.0,11.0,2.0,1.0,0.0,3.0,2.0,10.0
01004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,10.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,1.0
01005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,1.0,3.0,1.0,4.0,133.0,8.0,18.0,2.0,6.0,10.0,34.0,78.0,4.0,12.0,4.0,2.0,5.0,9.0,180.0,4.0,20.0,10.0,7.0,8.0,35.0,125.0,1.0,15.0,1.0,6.0,8.0,43.0,1558.0,3.0,22.0,0.0,3.0,3.0,40.0,15.0,1.0,14.0,2.0,4.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,0.0,1.0,0.0,0.0,0.0,5.0,35.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,2.0,0.0,0.0,1.0,3.0,45.0,0.0,58.0,0.0,12.0,1.0,26.0,101.0,0.0,4.0,0.0,0.0,2.0,19.0,64.0,0.0,2.0,0.0,0.0,0.0,1.0,506.0,0.0,8.0,0.0,0.0,1.0,20.0,505.0,1.0,6.0,0.0,2.0,0.0,17.0,22.0,1.0,9.0,0.0,7.0,3.0,12.0
01006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,1.0,4.0,0.0,1.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,1.0,0.0,0.0,2.0,731.0,0.0,4.0,0.0,1.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,25.0,0.0,2.0,3.0,9.0,54.0,0.0,4.0,1.0,3.0,0.0,8.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,218.0,0.0,2.0,0.0,0.0,0.0,12.0,241.0,0.0,1.0,0.0,0.0,1.0,4.0,12.0,1.0,8.0,0.0,2.0,2.0,5.0
01007,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,0.0,1.0,2.0,0.0,0.0,12.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,1.0,0.0,1.0,4.0,913.0,0.0,7.0,0.0,1.0,1.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,32.0,0.0,6.0,2.0,11.0,59.0,0.0,8.0,1.0,3.0,0.0,13.0,34.0,0.0,1.0,0.0,0.0,0.0,2.0,242.0,0.0,1.0,0.0,0.0,0.0,13.0,236.0,2.0,4.0,0.0,0.0,0.0,7.0,6.0,2.0,6.0,0.0,0.0,1.0,9.0
01008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,1.0,0.0,11.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0
01009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,1.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0
01010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,2.0,0.0,2.0
