Key,CVE_ENT,CVE_MUN,NOM_MUN,ent,grs2000,grs2005,grs2010,grs2015,lgc00_15cl3,lgc00_15cl3_2,lgc00_15cl4,lgc00_15cl4_2,AMB,LAT,LON,ALT,POB_TOTAL,PER_URB,PER_RUR,AREA,BASSOLS,BASSOLS2
4007,4,7,Palizada,Campeche,Bajo,Bajo,Bajo,Bajo,1,3,4,2,U,18.253598,-92.090902,0,8352,0.005,0.995,2181.411394,Peninsula de Yucatan,8
30178,30,178,Tlacotalpan,Veracruz,Bajo,Bajo,Bajo,Medio,1,3,3,1,U,18.613272,-95.656311,0,13284,0.005464481,0.994535519,576.5727786,Golfo de Mexico,3
4003,4,3,Carmen,Campeche,Muy bajo,Muy bajo,Muy bajo,Bajo,1,3,3,1,U,18.637789,-91.83645,0,221094,0.004325883,0.995674117,8544.736808,Peninsula de Yucatan,8
27012,27,12,Macuspana,Tabasco,Bajo,Bajo,Muy bajo,Bajo,2,2,4,2,U,17.756431,-92.594071,0,153132,0.027027027,0.972972973,2426.15682,Golfo de Mexico,3
30012,30,12,Amatitlán,Veracruz,Bajo,Bajo,Bajo,Medio,1,3,3,1,U,18.432344,-95.733279,0,7487,0.032258065,0.967741935,134.6479011,Golfo de Mexico,3
2002,2,2,Mexicali,Baja California,Muy bajo,Muy bajo,Muy bajo,Muy bajo,1,3,3,1,U,32.641176,-115.475579,1,936826,0.006122449,0.993877551,15794.4572,Noroeste,5
30084,30,84,Ixmatlahuacan,Veracruz,Medio,Bajo,Bajo,Medio,2,2,4,2,U,18.448569,-95.829882,1,5727,0.009090909,0.990909091,346.1376304,Golfo de Mexico,3
30158,30,158,Tecolutla,Veracruz,Medio,Medio,Medio,Medio,2,2,4,2,U,20.477393,-97.008451,1,25126,0.00625,0.99375,526.8670376,Golfo de Mexico,3
30208,30,208,Carlos A. Carrillo,Veracruz,Muy bajo,Muy bajo,Muy bajo,Bajo,1,3,3,1,U,18.371734,-95.74476,1,22907,0.011235955,0.988764045,243.4801526,Golfo de Mexico,3
31011,31,11,Celestún,Yucatán,Medio,Bajo,Bajo,Bajo,2,2,4,2,U,20.860092,-90.399464,1,6831,0.035714286,0.964285714,597.5869939,Peninsula de Yucatan,8
31028,31,28,Dzilam de Bravo,Yucatán,Muy bajo,Muy bajo,Muy bajo,Bajo,1,3,3,1,U,21.393229,-88.89188,1,2463,0.009174312,0.990825688,428.1299494,Peninsula de Yucatan,8
31061,31,61,Río Lagartos,Yucatán,Muy bajo,Muy bajo,Muy bajo,Bajo,1,3,3,1,U,21.597751,-88.157978,1,3438,0.007936508,0.992063492,334.2970077,Peninsula de Yucatan,8
12077,12,77,Marquelia,Guerrero,,Medio,Medio,Medio,2,2,1,3,U,16.583314,-98.817852,2,12912,0.027777778,0.972222222,211.4319442,Pacifico Sur,7
20248,20,248,San Mateo del Mar,Oaxaca,Muy alto,Muy alto,Muy alto,Muy alto,3,1,2,4,U,16.2097,-94.981892,2,14252,0.142857143,0.857142857,90.18823289,Pacifico Sur,7
23004,23,4,Othón P. Blanco,Quintana Roo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,1,3,3,1,U,18.493889,-88.297899,2,244553,0.004958678,0.995041322,9925.140292,Peninsula de Yucatan,8
27003,27,3,Centla,Tabasco,Bajo,Bajo,Bajo,Bajo,2,2,4,2,U,18.530111,-92.652187,2,102110,0.021551724,0.978448276,2685.617867,Golfo de Mexico,3
30139,30,139,Saltabarranca,Veracruz,Bajo,Bajo,Bajo,Medio,2,2,4,2,U,18.59024,-95.531879,2,5908,0.022727273,0.977272727,108.1091455,Golfo de Mexico,3
