Key,0__a__5__p_e_r_s_o_n_a_s,1_0_1__a__2_5_0__p_e_r_s_o_n_a_s,1_1__a__3_0__p_e_r_s_o_n_a_s,2_5_1__y__m_á_s__p_e_r_s_o_n_a_s,3_1__a__5_0__p_e_r_s_o_n_a_s,5_1__a__1_0_0__p_e_r_s_o_n_a_s,6__a__1_0__p_e_r_s_o_n_a_s
01001,36486.0,195.0,2179.0,122.0,412.0,305.0,2828.0
01002,651.0,1.0,19.0,2.0,4.0,5.0,22.0
01003,1827.0,4.0,67.0,3.0,10.0,7.0,79.0
01004,329.0,0.0,11.0,2.0,6.0,0.0,10.0
01005,3553.0,27.0,202.0,20.0,53.0,48.0,286.0
01006,1549.0,2.0,59.0,3.0,10.0,9.0,68.0
01007,1818.0,5.0,64.0,5.0,11.0,7.0,95.0
01008,268.0,0.0,11.0,1.0,4.0,0.0,22.0
01009,363.0,0.0,16.0,2.0,4.0,1.0,2.0
01010,285.0,1.0,9.0,1.0,4.0,2.0,17.0
01011,843.0,7.0,39.0,14.0,11.0,10.0,45.0
02001,16660.0,74.0,1127.0,71.0,236.0,195.0,1496.0
02002,26036.0,214.0,2204.0,173.0,481.0,315.0,2788.0
02003,3010.0,25.0,245.0,22.0,55.0,50.0,306.0
02004,43895.0,371.0,3464.0,311.0,744.0,602.0,4679.0
02005,3385.0,14.0,207.0,10.0,47.0,20.0,341.0
03001,3147.0,12.0,192.0,6.0,25.0,16.0,300.0
03002,2370.0,18.0,148.0,5.0,23.0,7.0,242.0
03003,10389.0,79.0,893.0,32.0,160.0,145.0,1108.0
03008,9824.0,65.0,681.0,58.0,130.0,89.0,972.0
03009,767.0,4.0,61.0,1.0,9.0,4.0,94.0
04001,2979.0,6.0,92.0,4.0,15.0,8.0,123.0
04002,11857.0,78.0,881.0,45.0,177.0,148.0,1051.0
04003,9275.0,49.0,642.0,56.0,143.0,103.0,766.0
04004,3156.0,14.0,139.0,7.0,23.0,10.0,234.0
04005,1075.0,4.0,45.0,1.0,10.0,4.0,58.0
04006,841.0,2.0,50.0,0.0,8.0,4.0,38.0
04007,306.0,0.0,26.0,0.0,1.0,1.0,17.0
04008,385.0,1.0,22.0,2.0,7.0,4.0,44.0
04009,2264.0,7.0,111.0,2.0,20.0,17.0,125.0
04010,465.0,1.0,30.0,1.0,8.0,4.0,50.0
04011,845.0,3.0,28.0,1.0,7.0,1.0,50.0
05001,40.0,0.0,2.0,0.0,0.0,1.0,5.0
05002,3843.0,26.0,241.0,35.0,51.0,37.0,318.0
05003,776.0,1.0,37.0,1.0,9.0,2.0,67.0
05004,364.0,3.0,39.0,4.0,6.0,6.0,84.0
05005,74.0,0.0,5.0,0.0,0.0,1.0,5.0
05006,823.0,3.0,30.0,2.0,6.0,6.0,48.0
05007,449.0,2.0,26.0,0.0,5.0,3.0,45.0
05008,22.0,0.0,0.0,0.0,1.0,0.0,3.0
05009,1777.0,4.0,71.0,4.0,11.0,15.0,108.0
05010,2195.0,16.0,95.0,19.0,22.0,25.0,149.0
05011,237.0,1.0,10.0,0.0,4.0,2.0,17.0
05012,42.0,0.0,3.0,0.0,1.0,0.0,6.0
05013,63.0,0.0,4.0,0.0,0.0,1.0,8.0
05014,197.0,1.0,6.0,0.0,2.0,1.0,12.0
05015,41.0,0.0,2.0,0.0,0.0,1.0,2.0
05016,83.0,0.0,2.0,0.0,0.0,0.0,10.0
05017,2692.0,13.0,116.0,4.0,18.0,19.0,160.0
05018,8021.0,52.0,510.0,26.0,102.0,83.0,738.0
05019,245.0,2.0,16.0,0.0,5.0,0.0,25.0
05020,2143.0,5.0,110.0,8.0,18.0,17.0,147.0
05021,172.0,1.0,4.0,0.0,1.0,0.0,10.0
05022,840.0,3.0,45.0,3.0,9.0,8.0,58.0
05023,272.0,0.0,16.0,1.0,2.0,2.0,15.0
05024,1277.0,5.0,58.0,4.0,15.0,10.0,102.0
05025,5097.0,42.0,346.0,35.0,73.0,56.0,467.0
05026,22.0,0.0,2.0,0.0,1.0,0.0,0.0
05027,2081.0,29.0,199.0,68.0,44.0,33.0,256.0
05028,2120.0,14.0,141.0,8.0,26.0,25.0,201.0
05029,85.0,0.0,10.0,0.0,0.0,0.0,8.0
05030,22311.0,163.0,1605.0,116.0,304.0,262.0,2247.0
05031,883.0,2.0,22.0,1.0,5.0,3.0,39.0
05032,1413.0,5.0,60.0,3.0,16.0,14.0,120.0
05033,2381.0,8.0,108.0,11.0,17.0,17.0,180.0
05034,205.0,0.0,15.0,2.0,0.0,1.0,7.0
05035,22723.0,204.0,1632.0,119.0,339.0,236.0,2258.0
05036,137.0,0.0,12.0,0.0,2.0,0.0,11.0
05037,206.0,0.0,9.0,0.0,5.0,2.0,9.0
05038,433.0,0.0,26.0,2.0,2.0,1.0,31.0
06001,1136.0,1.0,69.0,2.0,11.0,4.0,82.0
06002,9307.0,65.0,717.0,30.0,145.0,128.0,963.0
06003,835.0,3.0,39.0,1.0,8.0,9.0,57.0
06004,728.0,2.0,28.0,1.0,6.0,0.0,40.0
06005,1048.0,0.0,44.0,1.0,12.0,2.0,63.0
06006,239.0,2.0,10.0,0.0,2.0,2.0,12.0
06007,6920.0,46.0,575.0,25.0,124.0,85.0,834.0
06008,326.0,1.0,15.0,1.0,3.0,1.0,15.0
06009,4447.0,8.0,251.0,10.0,48.0,46.0,374.0
06010,4380.0,13.0,180.0,4.0,31.0,30.0,307.0
07001,596.0,2.0,21.0,0.0,5.0,2.0,44.0
07002,1314.0,1.0,44.0,1.0,8.0,6.0,51.0
07003,855.0,4.0,26.0,1.0,2.0,4.0,36.0
07004,989.0,2.0,21.0,0.0,2.0,2.0,37.0
07005,247.0,2.0,10.0,1.0,4.0,2.0,8.0
07006,295.0,0.0,14.0,1.0,1.0,0.0,14.0
07007,793.0,1.0,13.0,1.0,2.0,2.0,15.0
07008,1250.0,1.0,26.0,2.0,2.0,4.0,38.0
07009,2243.0,3.0,73.0,4.0,19.0,18.0,106.0
07010,52.0,1.0,1.0,0.0,0.0,0.0,1.0
07011,173.0,0.0,7.0,0.0,0.0,0.0,2.0
07012,1987.0,3.0,43.0,1.0,6.0,7.0,76.0
07013,1174.0,5.0,38.0,1.0,6.0,4.0,60.0
07014,308.0,0.0,15.0,0.0,0.0,0.0,10.0
07015,1263.0,1.0,41.0,1.0,10.0,1.0,56.0
07016,302.0,2.0,26.0,0.0,10.0,2.0,8.0
07017,3372.0,3.0,98.0,3.0,17.0,13.0,129.0
07018,291.0,1.0,9.0,0.0,2.0,1.0,13.0
07019,10148.0,17.0,269.0,8.0,47.0,37.0,418.0
07020,857.0,4.0,34.0,1.0,6.0,6.0,32.0
07021,819.0,0.0,19.0,1.0,4.0,2.0,35.0
07022,185.0,0.0,6.0,0.0,2.0,2.0,7.0
07023,614.0,1.0,9.0,0.0,0.0,1.0,9.0
07024,286.0,0.0,9.0,0.0,3.0,0.0,21.0
07025,148.0,1.0,2.0,0.0,0.0,0.0,2.0
07026,345.0,0.0,10.0,0.0,3.0,0.0,19.0
07027,2538.0,9.0,107.0,2.0,13.0,12.0,145.0
07028,220.0,1.0,3.0,0.0,0.0,0.0,4.0
07029,186.0,1.0,10.0,0.0,2.0,1.0,8.0
07030,979.0,1.0,22.0,1.0,2.0,3.0,30.0
07031,938.0,0.0,26.0,1.0,7.0,0.0,41.0
07032,1103.0,1.0,38.0,0.0,10.0,5.0,44.0
07033,30.0,0.0,2.0,0.0,0.0,1.0,4.0
07034,2725.0,1.0,89.0,2.0,18.0,8.0,98.0
07035,231.0,3.0,5.0,0.0,8.0,2.0,11.0
07036,197.0,1.0,8.0,0.0,0.0,0.0,4.0
